customer_id,customer_type,signup_date
34,Startup,2024-01-17
346,SMB,2024-06-21
545,SMB,2024-09-29
706,Startup,2024-12-18
901,SMB,2025-03-26
902,Enterprise,2025-03-26
903,Enterprise,2025-03-27
904,SMB,2025-03-27
905,SMB,2025-03-28
906,Startup,2025-03-28
907,Startup,2025-03-29
908,SMB,2025-03-29
909,SMB,2025-03-30
910,SMB,2025-03-30
911,SMB,2025-03-31
912,SMB,2025-03-31
913,SMB,2025-04-01
914,SMB,2025-04-01
915,SMB,2025-04-02
916,SMB,2025-04-02
917,SMB,2025-04-03
918,Startup,2025-04-03
919,Startup,2025-04-04
920,Enterprise,2025-04-04
921,Startup,2025-04-05
922,SMB,2025-04-05
923,Startup,2025-04-06
924,Startup,2025-04-06
925,SMB,2025-04-07
926,Enterprise,2025-04-07
927,SMB,2025-04-08
928,SMB,2025-04-08
929,SMB,2025-04-09
930,SMB,2025-04-09
931,Enterprise,2025-04-10
932,Startup,2025-04-10
933,Startup,2025-04-11
934,SMB,2025-04-11
935,Enterprise,2025-04-12
936,SMB,2025-04-12
937,Enterprise,2025-04-13
938,Startup,2025-04-13
939,Enterprise,2025-04-14
940,SMB,2025-04-14
941,SMB,2025-04-15
942,SMB,2025-04-15
943,SMB,2025-04-16
944,Startup,2025-04-16
945,SMB,2025-04-17
946,Enterprise,2025-04-17
947,Enterprise,2025-04-18
948,Startup,2025-04-18
949,Startup,2025-04-19
950,SMB,2025-04-19
951,SMB,2025-04-20
952,SMB,2025-04-20
953,Enterprise,2025-04-21
954,Startup,2025-04-21
955,SMB,2025-04-22
956,SMB,2025-04-22
957,SMB,2025-04-23
958,Enterprise,2025-04-23
959,Enterprise,2025-04-24
960,Startup,2025-04-24
961,Enterprise,2025-04-25
962,SMB,2025-04-25
963,SMB,2025-04-26
964,SMB,2025-04-26
965,SMB,2025-04-27
966,SMB,2025-04-27
967,Startup,2025-04-28
968,SMB,2025-04-28
969,SMB,2025-04-29
970,SMB,2025-04-29
971,SMB,2025-04-30
972,Startup,2025-04-30
973,Startup,2025-05-01
974,SMB,2025-05-01
975,Enterprise,2025-05-02
976,SMB,2025-05-02
977,SMB,2025-05-03
978,Enterprise,2025-05-03
979,SMB,2025-05-04
980,SMB,2025-05-04
981,SMB,2025-05-05
982,Startup,2025-05-05
983,Enterprise,2025-05-06
984,Enterprise,2025-05-06
985,Startup,2025-05-07
986,SMB,2025-05-07
987,SMB,2025-05-08
988,SMB,2025-05-08
989,SMB,2025-05-09
990,Startup,2025-05-09
991,Startup,2025-05-10
992,SMB,2025-05-10
993,SMB,2025-05-11
994,SMB,2025-05-11
995,SMB,2025-05-12
996,Enterprise,2025-05-12
997,Startup,2025-05-13
998,Enterprise,2025-05-13
999,Startup,2025-05-14
1000,SMB,2025-05-14
